"participant","analysed","case_id","ai_condition","block","voice","position","initial_pick","initial_confidence","final_pick","final_confidence","confidence_shift","pick_changed","initial_decision_ms","final_decision_ms","visibility_lost","audio_file","age","gender","exp_symptom_checkers","exp_voice_ai"
"P12",1,"case-helga-alterswarzen","refute",2,"anthropomorphic",1,"B",2,"A",3,1,1,6795,2524,0,"/audio/case-helga-alterswarzen/anthropomorphic/A.mp3","18–24","männlich",3,3
"P12",1,"case-paul-ekzem","confirm",2,"anthropomorphic",2,"C",3,"C",4,1,0,4489,1334,0,"/audio/case-paul-ekzem/anthropomorphic/C.mp3","18–24","männlich",3,3
"P12",1,"case-nina-bindehaut","refute",2,"anthropomorphic",3,"C",4,"C",2,-2,0,20754,9665,0,"/audio/case-nina-bindehaut/anthropomorphic/A.mp3","18–24","männlich",3,3
"P12",1,"case-tim-karies","confirm",2,"anthropomorphic",4,"C",3,"C",4,1,0,7348,1533,0,"/audio/case-tim-karies/anthropomorphic/C.mp3","18–24","männlich",3,3
"P13",1,"case-helga-alterswarzen","confirm",1,"anthropomorphic",1,"C",3,"C",7,4,0,5876,1841,0,"/audio/case-helga-alterswarzen/anthropomorphic/C.mp3","18–24","männlich",7,7
"P13",1,"case-nina-bindehaut","refute",1,"anthropomorphic",2,"B",3,"A",4,1,1,5413,3048,0,"/audio/case-nina-bindehaut/anthropomorphic/C.mp3","18–24","männlich",7,7
"P13",1,"case-daniel-belastungsreaktion","confirm",1,"anthropomorphic",3,"A",4,"A",6,2,0,4162,1990,0,"/audio/case-daniel-belastungsreaktion/anthropomorphic/A.mp3","18–24","männlich",7,7
"P13",1,"case-tim-karies","refute",1,"anthropomorphic",4,"B",4,"A",3,-1,1,3413,2520,0,"/audio/case-tim-karies/anthropomorphic/A.mp3","18–24","männlich",7,7
"P13",1,"case-anna-erkaeltung","refute",2,"machine",1,"B",3,"B",4,1,0,3254,2997,0,"/audio/case-anna-erkaeltung/machine/C.mp3","18–24","männlich",7,7
"P13",1,"case-tomas-blase","confirm",2,"machine",2,"B",5,"B",6,1,0,3868,3258,0,"/audio/case-tomas-blase/machine/B.mp3","18–24","männlich",7,7
"P13",1,"case-jonas-trommelfellriss","refute",2,"machine",3,"B",2,"A",6,4,1,4687,2868,0,"/audio/case-jonas-trommelfellriss/machine/A.mp3","18–24","männlich",7,7
"P13",1,"case-martin-bronchitis","confirm",2,"machine",4,"A",2,"A",6,4,0,4172,1521,0,"/audio/case-martin-bronchitis/machine/A.mp3","18–24","männlich",7,7
"P14",1,"case-nina-bindehaut","confirm",1,"anthropomorphic",1,"A",4,"A",5,1,0,18417,6385,0,"/audio/case-nina-bindehaut/anthropomorphic/A.mp3","18–24","männlich",2,3
"P14",1,"case-martin-bronchitis","refute",1,"anthropomorphic",2,"A",4,"B",3,-1,1,5946,1702,0,"/audio/case-martin-bronchitis/anthropomorphic/B.mp3","18–24","männlich",2,3
"P14",1,"case-tomas-blase","refute",1,"anthropomorphic",3,"B",4,"A",4,0,1,9996,1369,0,"/audio/case-tomas-blase/anthropomorphic/A.mp3","18–24","männlich",2,3
"P14",1,"case-sophie-lungenentzuendung","confirm",1,"anthropomorphic",4,"A",4,"A",5,1,0,4906,1969,0,"/audio/case-sophie-lungenentzuendung/anthropomorphic/A.mp3","18–24","männlich",2,3
"P14",1,"case-markus-bandscheibe","confirm",2,"machine",1,"B",4,"B",5,1,0,3578,1397,0,"/audio/case-markus-bandscheibe/machine/B.mp3","18–24","männlich",2,3
"P14",1,"case-lea-streptokokken","refute",2,"machine",2,"A",4,"B",4,0,1,3987,2138,0,"/audio/case-lea-streptokokken/machine/B.mp3","18–24","männlich",2,3
"P14",1,"case-anna-erkaeltung","confirm",2,"machine",3,"B",4,"B",5,1,0,3717,4033,0,"/audio/case-anna-erkaeltung/machine/B.mp3","18–24","männlich",2,3
"P14",1,"case-daniel-belastungsreaktion","refute",2,"machine",4,"A",3,"B",4,1,1,9086,3768,0,"/audio/case-daniel-belastungsreaktion/machine/B.mp3","18–24","männlich",2,3
"P15",1,"case-markus-bandscheibe","refute",1,"anthropomorphic",1,"B",5,"B",5,0,0,38341,6204,0,"/audio/case-markus-bandscheibe/anthropomorphic/A.mp3","25–34","weiblich",7,7
"P15",1,"case-jonas-trommelfellriss","confirm",1,"anthropomorphic",2,"B",5,"B",6,1,0,9517,1887,0,"/audio/case-jonas-trommelfellriss/anthropomorphic/B.mp3","25–34","weiblich",7,7
"P15",1,"case-lea-streptokokken","confirm",1,"anthropomorphic",3,"A",6,"A",6,0,0,16959,3452,0,"/audio/case-lea-streptokokken/anthropomorphic/A.mp3","25–34","weiblich",7,7
"P15",1,"case-nina-bindehaut","refute",1,"anthropomorphic",4,"B",6,"A",5,-1,1,14535,2953,0,"/audio/case-nina-bindehaut/anthropomorphic/A.mp3","25–34","weiblich",7,7
"P15",1,"case-anna-erkaeltung","confirm",2,"machine",1,"B",6,"B",6,0,0,6430,13684,0,"/audio/case-anna-erkaeltung/machine/B.mp3","25–34","weiblich",7,7
"P15",1,"case-sophie-lungenentzuendung","refute",2,"machine",2,"A",6,"C",5,-1,1,5933,2418,0,"/audio/case-sophie-lungenentzuendung/machine/C.mp3","25–34","weiblich",7,7
"P15",1,"case-martin-bronchitis","refute",2,"machine",3,"A",6,"C",5,-1,1,3896,2222,0,"/audio/case-martin-bronchitis/machine/C.mp3","25–34","weiblich",7,7
"P15",1,"case-helga-alterswarzen","confirm",2,"machine",4,"B",5,"B",5,0,0,5079,1849,0,"/audio/case-helga-alterswarzen/machine/B.mp3","25–34","weiblich",7,7
"P16",1,"case-markus-bandscheibe","refute",1,"machine",1,"A",7,"A",6,-1,0,1797,2172,0,"/audio/case-markus-bandscheibe/machine/C.mp3","55+","weiblich",7,7
"P16",1,"case-markus-bandscheibe","refute",1,"machine",1,"A",7,"A",6,-1,0,1790,1657,0,"/audio/case-markus-bandscheibe/machine/C.mp3","55+","weiblich",7,7
"P16",1,"case-daniel-belastungsreaktion","confirm",1,"machine",2,"A",6,"A",7,1,0,10896,1724,0,"/audio/case-daniel-belastungsreaktion/machine/A.mp3","55+","weiblich",7,7
"P16",1,"case-paul-ekzem","confirm",1,"machine",3,"A",6,"A",7,1,0,3091,1912,0,"/audio/case-paul-ekzem/machine/A.mp3","55+","weiblich",7,7
"P16",1,"case-anna-erkaeltung","refute",1,"machine",4,"A",6,"A",6,0,0,4762,3117,0,"/audio/case-anna-erkaeltung/machine/B.mp3","55+","weiblich",7,7
"P16",1,"case-lea-streptokokken","confirm",2,"anthropomorphic",1,"A",6,"A",7,1,0,4476,1524,0,"/audio/case-lea-streptokokken/anthropomorphic/A.mp3","55+","weiblich",7,7
"P16",1,"case-jonas-trommelfellriss","refute",2,"anthropomorphic",2,"B",4,"A",5,1,1,10137,4297,0,"/audio/case-jonas-trommelfellriss/anthropomorphic/A.mp3","55+","weiblich",7,7
"P16",1,"case-sophie-lungenentzuendung","confirm",2,"anthropomorphic",3,"A",7,"A",7,0,0,2588,1518,0,"/audio/case-sophie-lungenentzuendung/anthropomorphic/A.mp3","55+","weiblich",7,7
"P16",1,"case-tim-karies","refute",2,"anthropomorphic",4,"B",6,"B",5,-1,0,3582,3041,0,"/audio/case-tim-karies/anthropomorphic/C.mp3","55+","weiblich",7,7
"P17",1,"case-paul-ekzem","confirm",1,"anthropomorphic",1,"B",5,"B",5,0,0,5912,4000,0,"/audio/case-paul-ekzem/anthropomorphic/B.mp3","18–24","männlich",5,6
"P17",1,"case-tomas-blase","refute",1,"anthropomorphic",2,"B",2,"A",5,3,1,3927,2220,0,"/audio/case-tomas-blase/anthropomorphic/A.mp3","18–24","männlich",5,6
"P17",1,"case-helga-alterswarzen","refute",1,"anthropomorphic",3,"A",5,"A",5,0,0,7657,4091,0,"/audio/case-helga-alterswarzen/anthropomorphic/B.mp3","18–24","männlich",5,6
"P17",1,"case-martin-bronchitis","confirm",1,"anthropomorphic",4,"C",5,"C",5,0,0,4598,2315,0,"/audio/case-martin-bronchitis/anthropomorphic/C.mp3","18–24","männlich",5,6
"P17",1,"case-nina-bindehaut","confirm",2,"machine",1,"C",5,"A",4,-1,1,11036,8046,0,"/audio/case-nina-bindehaut/machine/C.mp3","18–24","männlich",5,6
"P17",1,"case-sophie-lungenentzuendung","refute",2,"machine",2,"A",6,"C",5,-1,1,13882,1703,0,"/audio/case-sophie-lungenentzuendung/machine/C.mp3","18–24","männlich",5,6
"P17",1,"case-tim-karies","confirm",2,"machine",3,"B",7,"B",7,0,0,4940,1762,0,"/audio/case-tim-karies/machine/B.mp3","18–24","männlich",5,6
"P17",1,"case-jonas-trommelfellriss","refute",2,"machine",4,"C",5,"C",6,1,0,4693,1871,0,"/audio/case-jonas-trommelfellriss/machine/B.mp3","18–24","männlich",5,6
"P18",1,"case-daniel-belastungsreaktion","confirm",1,"machine",1,"B",2,"B",3,1,0,3589,1946,0,"/audio/case-daniel-belastungsreaktion/machine/B.mp3","18–24","divers",3,1
"P18",1,"case-jonas-trommelfellriss","refute",1,"machine",2,"B",2,"B",2,0,0,3960,24719,0,"/audio/case-jonas-trommelfellriss/machine/A.mp3","18–24","divers",3,1
